Symbol,Date,Open,High,Low,Close,Adj Close,Volume
COKE,2/21/2020,273.690002,275.48999,271.269989,273.679993,272.533508,24100
COKE,2/24/2020,269.880005,270.649994,264.049988,265.23999,264.128876,29300
COKE,2/25/2020,266.130005,270.070007,253.089996,255.979996,254.907654,70100
COKE,2/26/2020,240.009995,244.899994,203.479996,210,209.12027,195000
COKE,2/27/2020,207.5,210,200.520004,201.020004,200.177902,87400
COKE,2/28/2020,198.580002,202.169998,190.429993,196.380005,195.557327,104800
COKE,3/2/2020,202.589996,226,202.589996,221.020004,220.094131,154700
COKE,3/3/2020,224.860001,235.710007,206,211.960007,211.072067,102600
COKE,3/4/2020,217.479996,221.979996,206.020004,215.990005,215.08519,95900
COKE,3/5/2020,211.75,214.860001,202.669998,206.460007,205.595123,56100
COKE,3/6/2020,203.809998,208.699997,201.100006,206.050003,205.186829,45300
COKE,3/9/2020,200.009995,200.509995,193.5,198.600006,197.768021,79300
COKE,3/10/2020,205.320007,218.509995,200,218.139999,217.226166,102200
COKE,3/11/2020,213.710007,213.710007,199.270004,206,205.137024,91700
COKE,3/12/2020,195,205,188.809998,203.529999,202.677368,104200
COKE,3/13/2020,210.740005,216.690002,198.399994,216.690002,215.782257,96000
COKE,3/16/2020,195.919998,214.139999,195,201.050003,200.207779,62100
COKE,3/17/2020,203.610001,216.199997,199.970001,216.199997,215.294281,91900
COKE,3/18/2020,203.509995,216.169998,198.429993,206.320007,205.455704,78200
COKE,3/19/2020,204.710007,210.139999,199.990005,201,200.157974,109800
COKE,3/20/2020,202.970001,212.490005,191.449997,192.570007,191.763306,99900
COKE,3/23/2020,192.300003,200.330002,188.080002,193.389999,192.579865,68300
COKE,3/24/2020,200.449997,206.800003,193.940002,203,202.149597,82000
COKE,3/25/2020,208.979996,244.520004,204.25,218.649994,217.734039,170100
COKE,3/26/2020,220.919998,238.800003,210.029999,219.949997,219.028595,125900
COKE,3/27/2020,216.479996,220,201,201.119995,200.277481,84000
COKE,3/30/2020,203.589996,213.5,201.990005,207.660004,206.790085,47100
COKE,3/31/2020,207.369995,212.789993,204.300003,208.529999,207.656433,52800
