Symbol,Date,Open,High,Low,Close,Adj Close,Volume
UPS,2/21/2020,105.620003,105.730003,102.75,102.940002,98.999184,6034600
UPS,2/24/2020,99.760002,100.139999,97.620003,98.489998,95.658089,7300400
UPS,2/25/2020,99.07,99.220001,93.220001,93.900002,91.200058,7609100
UPS,2/26/2020,95.080002,95.389999,93.18,93.730003,91.034958,7411700
UPS,2/27/2020,91.510002,93.139999,89.889999,90.239998,87.645309,9143800
UPS,2/28/2020,88.629997,91.349998,87.669998,90.489998,87.888107,11517400
UPS,3/2/2020,92.050003,93.139999,89.410004,92.75,90.083138,8738800
UPS,3/3/2020,94.860001,96,90.57,91.300003,88.67482,9263400
UPS,3/4/2020,92.290001,95.879997,91.43,95.82,93.064857,6644800
UPS,3/5/2020,92.779999,94.25,91.940002,92.989998,90.316231,5277200
UPS,3/6/2020,90.269997,94.480003,90.139999,94,91.297188,5598400
UPS,3/9/2020,88.440002,92,87.099998,87.18,84.673286,8648300
UPS,3/10/2020,90.480003,92.949997,87.190002,92.82,90.151123,8914200
UPS,3/11/2020,89.82,91.169998,87.309998,87.989998,85.459991,5557200
UPS,3/12/2020,82.220001,92.440002,82,86.169998,83.692329,9412800
UPS,3/13/2020,91,94.599998,87.510002,94.230003,91.520576,10918900
UPS,3/16/2020,85.860001,94.209999,85.5,87.059998,84.55674,9006300
UPS,3/17/2020,89.050003,97.209999,87.790001,96.790001,94.006973,10476100
UPS,3/18/2020,91,101.849998,90.309998,99.260002,96.405952,11152100
UPS,3/19/2020,98.669998,103.800003,95.459999,96.25,93.482498,7690300
UPS,3/20/2020,96.150002,97.730003,90.910004,93.459999,90.77272,7355300
UPS,3/23/2020,94.18,96.129997,90.25,91.900002,89.257576,7117800
UPS,3/24/2020,93.93,96.690002,92.160004,95.260002,92.520966,6067100
UPS,3/25/2020,95.629997,97.790001,91.050003,94.5,91.782822,5682000
UPS,3/26/2020,94.5,100.029999,93.529999,99.779999,96.910995,6373900
UPS,3/27/2020,95.599998,99.550003,95,97.519997,94.715973,4671100
UPS,3/30/2020,98.129997,98.809998,95.910004,97.839996,95.026764,3994200
UPS,3/31/2020,96.910004,97.309998,93.160004,93.419998,90.733856,5391300
UPS,4/1/2020,90.910004,92.879997,89.080002,90.389999,87.790977,5762800
UPS,4/2/2020,89.760002,93.559998,88.349998,93.040001,90.364784,4039900
UPS,4/3/2020,92.169998,93.400002,88.82,90,87.412209,4471900
UPS,4/6/2020,93.209999,96.480003,92.419998,95.68,92.928886,5642700
UPS,4/7/2020,96.25,97.449997,92.690002,92.910004,90.238533,5113900
UPS,4/8/2020,97,99.5,93.760002,98.790001,95.949463,6628400
UPS,4/9/2020,98.580002,100.029999,96.120003,98.690002,95.852333,5588500
